Testing mushroom.test.txt
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: p
Classification Label: e
Classification Label: e
Classification Label: e
